time=17770, port=1, send=0, transmission=successfully

time=17780, port=1, send=1, transmission=successfully

time=17790, port=1, send=1, transmission=successfully

time=17800, port=1, send=0, transmission=successfully

time=17810, port=1, send=0, transmission=successfully

time=17820, port=1, send=1, transmission=successfully

time=17830, port=1, send=1, transmission=successfully

time=17840, port=1, send=1, transmission=successfully

time=17850, port=1, send=1, transmission=successfully

time=17860, port=1, send=0, transmission=successfully

time=17870, port=1, send=1, transmission=successfully

time=17880, port=1, send=0, transmission=successfully

time=17890, port=1, send=0, transmission=successfully

time=17900, port=1, send=0, transmission=successfully

time=17910, port=1, send=1, transmission=successfully

time=17920, port=1, send=0, transmission=successfully

time=17930, port=1, send=1, transmission=successfully

time=17940, port=1, send=0, transmission=successfully

time=17950, port=1, send=0, transmission=successfully

time=17960, port=1, send=0, transmission=successfully

time=17970, port=1, send=0, transmission=successfully

time=17980, port=1, send=0, transmission=successfully

time=17990, port=1, send=0, transmission=successfully

time=18000, port=1, send=0, transmission=successfully

time=18010, port=1, send=0, transmission=successfully

time=18020, port=1, send=0, transmission=successfully

time=18030, port=1, send=0, transmission=successfully

time=18040, port=1, send=0, transmission=successfully

time=18050, port=1, send=0, transmission=successfully

time=18060, port=1, send=0, transmission=successfully

time=18070, port=1, send=0, transmission=successfully

time=18080, port=1, send=0, transmission=successfully

time=18090, port=1, send=0, transmission=successfully

time=18100, port=1, send=0, transmission=successfully

time=18110, port=1, send=0, transmission=successfully

time=18120, port=1, send=0, transmission=successfully

time=18130, port=1, send=0, transmission=successfully

time=18140, port=1, send=0, transmission=successfully

time=18150, port=1, send=0, transmission=successfully

time=18160, port=1, send=0, transmission=successfully

time=18170, port=1, send=0, transmission=successfully

time=18180, port=1, send=0, transmission=successfully

time=18190, port=1, send=1, transmission=successfully

time=18200, port=1, send=0, transmission=successfully

time=18210, port=1, send=0, transmission=successfully

time=18220, port=1, send=1, transmission=successfully

time=18230, port=1, send=0, transmission=successfully

time=18240, port=1, send=0, transmission=successfully

time=18250, port=1, send=0, transmission=successfully

time=18260, port=1, send=1, transmission=successfully

time=18270, port=1, send=0, transmission=successfully

time=18280, port=1, send=0, transmission=successfully

time=18290, port=1, send=0, transmission=successfully

time=18300, port=1, send=1, transmission=successfully

time=18310, port=1, send=0, transmission=successfully

time=18320, port=1, send=0, transmission=successfully

time=18330, port=1, send=0, transmission=successfully

time=18340, port=1, send=1, transmission=successfully

time=18350, port=1, send=0, transmission=successfully

time=18360, port=1, send=0, transmission=successfully

time=18370, port=1, send=0, transmission=successfully

time=18380, port=1, send=1, transmission=successfully

time=18390, port=1, send=0, transmission=successfully

time=18400, port=1, send=0, transmission=successfully

time=18410, port=1, send=0, transmission=successfully

time=18420, port=1, send=1, transmission=successfully

time=18430, port=1, send=0, transmission=successfully

time=18440, port=1, send=0, transmission=successfully

time=18450, port=1, send=0, transmission=successfully

time=18460, port=1, send=1, transmission=successfully

time=18470, port=1, send=0, transmission=successfully

time=18480, port=1, send=0, transmission=successfully

time=18490, port=1, send=0, transmission=successfully

time=18500, port=1, send=0, transmission=successfully

time=18510, port=1, send=1, transmission=successfully

time=18520, port=1, send=0, transmission=successfully

time=18530, port=1, send=null, cause=data_ended, transmission=successfully

time=23550, port=1, receive=1

time=23560, port=1, receive=1

time=23570, port=1, receive=1

time=23580, port=1, receive=1

time=23590, port=1, receive=1

time=23600, port=1, receive=1

time=23610, port=1, receive=1

time=23620, port=1, receive=1

time=23630, port=1, receive=1

time=23640, port=1, receive=1

time=23650, port=1, receive=1

time=23660, port=1, receive=1

time=23670, port=1, receive=1

time=23680, port=1, receive=1

time=23690, port=1, receive=1

time=23700, port=1, receive=1

time=23710, port=1, receive=1

time=23720, port=1, receive=0

time=23730, port=1, receive=1

time=23740, port=1, receive=0

time=23750, port=1, receive=1

time=23760, port=1, receive=0

time=23770, port=1, receive=1

time=23780, port=1, receive=0

time=23790, port=1, receive=0

time=23800, port=1, receive=0

time=23810, port=1, receive=0

time=23820, port=1, receive=0

time=23830, port=1, receive=0

time=23840, port=1, receive=0

time=23850, port=1, receive=0

time=23860, port=1, receive=1

time=23870, port=1, receive=0

time=23880, port=1, receive=0

time=23890, port=1, receive=0

time=23900, port=1, receive=0

time=23910, port=1, receive=1

time=23920, port=1, receive=0

time=23930, port=1, receive=0

time=23940, port=1, receive=0

time=23950, port=1, receive=0

time=23960, port=1, receive=0

time=23970, port=1, receive=0

time=23980, port=1, receive=0

time=23990, port=1, receive=0

time=24000, port=1, receive=0

time=24010, port=1, receive=1

time=24020, port=1, receive=0

time=24030, port=1, receive=0

time=24040, port=1, receive=0

time=24050, port=1, receive=0

time=24060, port=1, receive=0

time=24070, port=1, receive=1

time=24080, port=1, receive=0

time=24090, port=1, receive=1

time=24100, port=1, receive=0

time=24110, port=1, receive=0

time=24120, port=1, receive=0

time=24130, port=1, receive=0

time=24140, port=1, receive=1

time=24150, port=1, receive=1

time=24160, port=1, receive=0

time=24170, port=1, receive=1

time=24180, port=1, receive=1

time=24190, port=1, receive=0

time=24200, port=1, receive=0

time=24210, port=1, receive=0

time=24220, port=1, receive=1

time=24230, port=1, receive=1

time=24240, port=1, receive=0

time=24250, port=1, receive=0

time=24260, port=1, receive=1

time=24270, port=1, receive=0

time=24280, port=1, receive=0

time=24290, port=1, receive=0

time=24300, port=1, receive=1

time=24310, port=1, receive=1

time=24320, port=1, receive=0

time=24330, port=1, receive=1

time=24340, port=1, receive=0

time=24350, port=1, receive=0

time=24360, port=1, receive=0

time=24370, port=1, receive=0

time=24380, port=1, receive=0

time=24390, port=1, receive=1

time=24400, port=1, receive=0

time=24410, port=1, receive=1

time=24420, port=1, receive=0

time=24430, port=1, receive=0

time=24440, port=1, receive=0

time=24450, port=1, receive=0

time=24460, port=1, receive=0

time=24470, port=1, receive=0

time=24480, port=1, receive=1

time=24490, port=1, receive=1

time=24500, port=1, receive=0

time=24510, port=1, receive=0

time=24520, port=1, receive=1

time=24530, port=1, receive=1

time=24540, port=1, receive=1

time=24550, port=1, receive=1

time=24560, port=1, receive=0

time=24570, port=1, receive=1

time=24580, port=1, receive=0

time=24590, port=1, receive=0

time=24600, port=1, receive=0

time=24610, port=1, receive=0

time=24620, port=1, receive=0

time=24630, port=1, receive=0

time=24640, port=1, receive=0

time=24650, port=1, receive=0

time=24660, port=1, receive=1

time=24670, port=1, receive=1

time=24680, port=1, receive=1

time=24690, port=1, receive=0

time=24700, port=1, receive=1

time=24710, port=1, receive=0

time=24720, port=1, receive=0

time=24730, port=1, receive=0

time=24740, port=1, receive=0

time=24750, port=1, receive=0

time=24760, port=1, receive=0

